neighbourhood,area,rooms,parking,bathrooms,price,lat_value,lon_value,has_multiple_parking_spaces
Parque Residencial Aquarius,124.67,4,2,3,910000.0,-23.2206945,-45.9101028,1
Jardim Ismênia,124.61,2,1,1,267000.0,-23.1768395,-45.851599,0
Vila Adyana,124.26,2,1,1,400000.0,-23.2029298,-45.8920947,0
Parque Industrial,124.02,2,1,2,600000.0,-23.2267306,-45.9036805,0
Bosque dos Eucaliptos,124.79,2,1,2,425000.0,-23.2453203,-45.8879353,0
Parque Industrial,124.66,2,1,2,475000.0,-23.2388871,-45.9070677,0
Jardim das Indústrias,124.59,2,2,3,890000.0,-23.2341234,-45.9256624,1
Cidade Morumbi,124.28,2,1,1,260000.0,-23.2434773,-45.9058528,0
Parque Residencial Aquarius,124.05,3,2,3,950000.0,-23.2153165,-45.9095676,1
Parque Residencial Aquarius,124.61,3,2,3,780000.0,-23.2131162,-45.9078311,1
Jardim das Indústrias,124.1,2,1,1,390000.0,-23.2341234,-45.9256624,0
Jardim das Indústrias,124.85,4,2,4,1170000.0,-23.2341234,-45.9256624,1
Condomínio Residencial Colinas do Paratehy,124.15,2,1,2,385000.0,-23.1843507,-45.9497004,0
Jardim das Colinas,124.42,4,3,6,3400000.0,-23.2082214,-45.9083253,1
Jardim Esplanada,124.87,3,2,3,890000.0,-23.1970039,-45.9084535,1
Vila Adyana,124.08,2,2,2,990000.0,-23.1982391,-45.8931441,1
Jardim São Dimas,124.48,3,1,2,415000.0,-23.1955825,-45.8890806,0
Centro,124.45,3,2,1,430000.0,-23.1909379,-45.886436,1
Parque Residencial Aquarius,124.57,3,2,2,760000.0,-23.2190226,-45.908767,1
Jardim Esplanada,124.94,1,3,1,423153.0,-23.1979166,-45.9113619,1
Jardim das Indústrias,124.65,2,2,2,740000.0,-23.2341234,-45.9256624,1
Parque Residencial Aquarius,124.85,2,2,2,695000.0,-23.2168256,-45.904412,1
Palmeiras de São José,124.5,3,1,2,570000.0,-23.2351577,-45.9140475,0
Urbanova VI,124.18,2,1,2,479000.0,-23.2028942,-45.950933,0
Condomínio Royal Park,124.34,2,2,1,900000.0,-23.2228195,-45.9104962,1
Parque Residencial Flamboyant,124.74,2,1,1,230000.0,-23.2165405,-45.8512413,0
Jardim São Judas Tadeu,124.69,2,1,1,202000.0,-23.256849,-45.8316624,0
Jardim América,124.51,2,1,2,340000.0,-23.2499985,-45.9083387,0
Conjunto Residencial Trinta e Um de Março,124.41,2,1,2,437000.0,-23.2502173,-45.9170663,0
Monte Castelo,124.65,3,1,2,372000.0,-23.1775485,-45.8397078,0
Parque Residencial Aquarius,124.99,3,2,3,1100000.0,-23.2151853,-45.9090412,1
Vila Sanches,124.57,2,1,2,490000.0,-23.2041152,-45.8853984,0
Jardim Oriente,124.35,2,1,2,385000.0,-23.2402544,-45.8933781,0
Vila Betânia,124.94,1,1,1,320000.0,-23.2052682,-45.8881552,0
Parque Residencial Aquarius,124.93,4,3,6,1700000.0,-23.2151853,-45.9090412,1
Floradas de São José,124.57,3,1,1,560000.0,-23.2200575,-45.8896572,0
Jardim São Dimas,124.48,3,1,2,520000.0,-23.2043397,-45.8882488,0
Jardim Oriente,124.44,2,1,2,390000.0,-23.2432353,-45.8932115,0
Bosque dos Eucaliptos,124.77,4,2,3,640000.0,-23.2629313,-45.8910605,1
Jardim América,124.57,2,2,2,480000.0,-23.2308616,-45.8942314,1
Jardim das Colinas,124.64,1,1,1,420000.0,-23.1985042,-45.9128647,0
Bosque dos Eucaliptos,124.97,3,2,3,520000.0,-23.2629313,-45.8910605,1
Parque Residencial Aquarius,124.25,3,2,3,1750000.0,-23.2221126,-45.9095335,1
Parque Residencial Aquarius,124.81,4,3,6,1400000.0,-23.2151853,-45.9090412,1
Vila Cardoso,124.01,3,2,2,658000.0,-23.1946478,-45.8805902,1
Palmeiras de São José,124.26,2,0,2,335000.0,-23.2502173,-45.9170663,0
Parque Residencial Aquarius,124.91,3,2,2,850000.0,-23.2131162,-45.9078311,1
Parque Residencial Aquarius,124.37,3,2,3,780000.0,-23.2131162,-45.9078311,1
Jardim das Indústrias,124.15,2,1,1,390000.0,-23.2341234,-45.9256624,0
Jardim das Indústrias,124.64,4,2,4,1170000.0,-23.2341234,-45.9256624,1
Condomínio Residencial Colinas do Paratehy,124.83,2,1,2,385000.0,-23.1843507,-45.9497004,0
Jardim das Colinas,124.2,4,3,6,3400000.0,-23.2082214,-45.9083253,1
Jardim América,124.25,2,1,2,340000.0,-23.2380792,-45.9010799,0
Jardim Oswaldo Cruz,124.84,2,2,2,750000.0,-23.2008318,-45.8830378,1
Bosque dos Eucaliptos,124.25,2,1,1,245000.0,-23.2645046,-45.8897409,0
Jardim das Indústrias,124.62,2,2,2,740000.0,-23.2341234,-45.9256624,1
Jardim América,124.25,2,1,2,410000.0,-23.2380792,-45.9010799,0
